msisdn,dest_ip,dest_port,data_volume_kb,timestamp
919490111222,142.250.76.46,443,654.86,2026-06-01 14:12:05
919490111222,142.250.76.46,443,737.9,2026-06-01 21:17:43
919490111222,142.250.76.46,443,322.91,2026-06-02 12:52:40
919490111222,142.250.76.46,443,184.71,2026-06-02 13:51:45
919490111222,142.250.76.46,443,231.8,2026-06-02 16:23:02
919490111222,142.250.76.46,443,175.18,2026-06-02 20:45:38
919490111222,142.250.76.46,443,456.91,2026-06-03 12:42:47
919490111222,142.250.76.46,443,144.68,2026-06-03 18:32:31
919490111222,142.250.76.46,443,148.67,2026-06-03 19:38:36
919490111222,142.250.76.46,443,110.67,2026-06-04 11:47:04
919490111222,142.250.76.46,443,705.99,2026-06-04 18:54:14
919490111222,142.250.76.46,443,545.41,2026-06-04 19:01:44
919490111222,142.250.76.46,443,161.56,2026-06-04 20:50:17
919490111222,142.250.76.46,443,541.75,2026-06-05 09:27:41
919490111222,142.250.76.46,443,707.65,2026-06-05 13:43:35
919490111222,142.250.76.46,443,226.49,2026-06-05 15:54:26
919490111222,142.250.76.46,443,751.62,2026-06-05 19:03:54
919490111222,142.250.76.46,443,341.85,2026-06-06 09:17:58
919490111222,142.250.76.46,443,319.57,2026-06-06 16:20:00
919490111222,142.250.76.46,443,295.56,2026-06-06 17:29:31
919490111222,142.250.76.46,443,579.76,2026-06-06 21:02:56
919490111222,142.250.76.46,443,648.06,2026-06-07 10:56:36
919490111222,142.250.76.46,443,165.53,2026-06-07 10:58:15
919490111222,142.250.76.46,443,344.82,2026-06-07 20:14:44
919490111222,142.250.76.46,443,648.37,2026-06-08 09:30:27
919490111222,142.250.76.46,443,503.98,2026-06-08 13:04:40
919490111222,142.250.76.46,443,748.7,2026-06-08 18:51:40
919490111222,142.250.76.46,443,198.3,2026-06-09 12:06:30
919490111222,142.250.76.46,443,659.09,2026-06-09 14:53:03
919490111222,142.250.76.46,443,755.4,2026-06-09 17:50:15
919490111222,142.250.76.46,443,308.14,2026-06-10 09:58:02
919490111222,142.250.76.46,443,77.57,2026-06-10 16:37:07
919490111222,142.250.76.46,443,85.58,2026-06-10 18:28:48
919490111222,142.250.76.46,443,110.75,2026-06-10 20:04:50
919490111222,142.250.76.46,443,311.35,2026-06-11 09:18:54
919490111222,142.250.76.46,443,504.69,2026-06-11 09:19:39
919490111222,142.250.76.46,443,54.07,2026-06-11 10:06:43
919490111222,142.250.76.46,443,194.16,2026-06-12 18:48:26
919490111222,142.250.76.46,443,502.97,2026-06-12 18:50:42
919490111222,142.250.76.46,443,348.2,2026-06-13 15:29:50
919490111222,142.250.76.46,443,278.3,2026-06-13 18:39:06
919490111222,142.250.76.46,443,368.72,2026-06-13 19:50:01
919490111222,142.250.76.46,443,109.53,2026-06-14 12:57:36
919490111222,142.250.76.46,443,91.12,2026-06-14 18:12:06
919490111222,142.250.76.46,443,478.38,2026-06-14 18:45:04
919490111222,142.250.76.46,443,390.31,2026-06-15 13:22:26
919490111222,142.250.76.46,443,768.2,2026-06-15 18:27:32
919490111222,142.250.76.46,443,202.09,2026-06-15 18:28:11
919490111222,142.250.76.46,443,110.87,2026-06-15 21:02:03
919490111222,142.250.76.46,443,253.85,2026-06-16 11:09:30
919490111222,142.250.76.46,443,437.5,2026-06-16 13:37:56
919490111222,142.250.76.46,443,776.51,2026-06-16 14:18:23
919490111222,142.250.76.46,443,164.37,2026-06-17 09:27:22
919490111222,142.250.76.46,443,669.79,2026-06-17 12:32:52
919490111222,142.250.76.46,443,169.0,2026-06-17 12:40:58
919490111222,142.250.76.46,443,124.23,2026-06-17 18:42:43
919490111222,142.250.76.46,443,385.82,2026-06-18 14:12:42
919490111222,142.250.76.46,443,557.01,2026-06-18 20:29:38
919490111222,142.250.76.46,443,557.64,2026-06-19 09:40:14
919490111222,142.250.76.46,443,368.9,2026-06-19 14:10:06
919490111222,142.250.76.46,443,246.71,2026-06-19 18:21:39
919490111222,142.250.76.46,443,401.79,2026-06-19 21:58:02
919490111222,142.250.76.46,443,155.55,2026-06-20 15:13:25
919490111222,142.250.76.46,443,389.79,2026-06-20 18:13:15
919490111222,142.250.76.46,443,647.74,2026-06-20 21:52:21
919490111222,142.250.76.46,443,292.73,2026-06-21 14:00:04
919490111222,142.250.76.46,443,239.56,2026-06-21 17:07:09
919490111222,142.250.76.46,443,166.28,2026-06-22 09:01:12
919490111222,142.250.76.46,443,614.77,2026-06-22 19:37:58
919490111222,142.250.76.46,443,577.88,2026-06-23 12:56:16
919490111222,142.250.76.46,443,204.31,2026-06-23 14:54:35
919490111222,142.250.76.46,443,216.81,2026-06-24 09:11:53
919490111222,142.250.76.46,443,545.19,2026-06-24 10:01:53
919490111222,142.250.76.46,443,199.72,2026-06-25 12:19:29
919490111222,142.250.76.46,443,97.67,2026-06-25 19:50:56
919490111222,142.250.76.46,443,145.37,2026-06-25 21:23:42
919490111222,142.250.76.46,443,161.43,2026-06-26 11:50:12
919490111222,142.250.76.46,443,261.18,2026-06-26 15:44:23
919490111222,142.250.76.46,443,124.1,2026-06-26 20:04:07
919490111222,142.250.76.46,443,352.64,2026-06-26 21:39:56
919490111222,142.250.76.46,443,268.87,2026-06-27 13:50:09
919490111222,142.250.76.46,443,685.0,2026-06-27 18:37:12
919490111222,142.250.76.46,443,46.49,2026-06-27 19:15:58
919490111222,142.250.76.46,443,396.3,2026-06-28 17:37:56
919490111222,142.250.76.46,443,699.55,2026-06-28 19:50:17
919490111222,142.250.76.46,443,634.89,2026-06-29 10:50:30
919490111222,142.250.76.46,443,376.77,2026-06-29 14:31:33
919490111222,142.250.76.46,443,411.8,2026-06-29 18:04:10
919490111222,142.250.76.46,443,603.4,2026-06-29 21:56:41
919490111222,142.250.76.46,443,634.59,2026-06-30 15:40:58
919490111222,142.250.76.46,443,558.66,2026-06-30 20:23:33
919490111222,142.250.76.46,443,221.99,2026-06-30 20:31:30
